City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Thompson,CA,2021-08-07 22:17:50,55.7435,-97.8558,78.96,47,40,11.5
68,Kaitangata,NZ,2021-08-07 22:17:50,-46.2817,169.8464,41.14,71,100,3.78
69,Barrow,US,2021-08-07 22:17:51,71.2906,-156.7887,39.22,73,75,9.22
70,Dikson,RU,2021-08-07 22:17:51,73.5069,80.5464,49.15,74,10,9.1
71,Port Elizabeth,ZA,2021-08-07 22:17:52,-33.918,25.5701,55.69,94,100,3.44
72,Mayo,US,2021-08-07 22:17:52,38.8876,-76.5119,75.56,91,90,4.0
73,Trelew,AR,2021-08-07 22:17:52,-43.249,-65.3051,52.3,33,2,20.62
74,Hilo,US,2021-08-07 22:17:53,19.7297,-155.09,82.13,67,75,10.36
75,Bluff,NZ,2021-08-07 22:17:53,-46.6,168.3333,37.8,77,100,3.09
76,Cherskiy,RU,2021-08-07 22:17:53,68.75,161.3,59.11,42,56,4.25
77,Husavik,IS,2021-08-07 22:17:54,66.0449,-17.3389,55.31,75,91,2.1
78,Nome,US,2021-08-07 22:17:54,64.5011,-165.4064,48.27,82,90,6.91
79,Glendora,US,2021-08-07 22:17:54,34.1361,-117.8653,108.54,35,1,4.0
80,Rocha,UY,2021-08-07 22:17:54,-34.4833,-54.3333,63.97,88,7,4.97
81,Ancud,CL,2021-08-07 22:17:55,-41.8697,-73.8203,47.43,77,53,7.76
82,Cehegin,ES,2021-08-07 22:17:55,38.0924,-1.7985,80.28,30,1,3.62
83,Rudsar,IR,2021-08-07 22:17:55,37.1376,50.288,82.63,63,45,0.65
84,Kenora,CA,2021-08-07 22:17:56,49.8167,-94.4337,74.37,64,20,11.5
85,Plouzane,FR,2021-08-07 22:17:56,48.3833,-4.6167,57.52,88,75,5.75
86,Takoradi,GH,2021-08-07 22:17:56,4.8845,-1.7554,75.74,88,38,10.27
