City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Atuona,PF,-9.8,-139.0333,78.06,72,18,20.62,few clouds
81,Leh,IN,34.1667,77.5833,60.15,51,72,4.88,broken clouds
82,Tiksi,RU,71.6872,128.8694,57.69,61,84,5.79,broken clouds
83,El Estor,GT,15.5333,-89.35,73.76,94,99,0.98,overcast clouds
84,Pisco,PE,-13.7,-76.2167,56.01,88,5,2.3,smoke
85,Ndola,ZM,-12.9587,28.6366,55.4,47,0,3.58,clear sky
86,La Asuncion,VE,11.0333,-63.8628,80.33,89,89,6.91,overcast clouds
87,Biu,NG,10.6129,12.1946,67.32,95,100,6.62,light rain
88,Langxiang,CN,46.95,128.8833,58.03,81,100,6.02,overcast clouds
89,Kasongo-Lunda,CD,-6.4667,16.8167,68.04,65,25,1.41,scattered clouds
90,Ferrol,ES,43.4832,-8.2369,60.67,87,0,3.76,clear sky
91,New Norfolk,AU,-42.7826,147.0587,66.92,44,37,7.0,scattered clouds
92,Fethiye,TR,36.6217,29.1164,84.07,30,0,7.09,clear sky
93,Stokmarknes,NO,68.5646,14.9108,60.49,93,100,1.03,overcast clouds
94,Lundamo,NO,63.1333,10.3,50.67,78,10,3.09,clear sky
95,Inuvik,CA,68.3499,-133.7218,48.96,61,75,3.44,broken clouds
96,Portland,US,45.5234,-122.6762,77.58,57,1,3.0,clear sky
97,Mount Gambier,AU,-37.8333,140.7667,58.91,55,90,17.27,overcast clouds
98,Churapcha,RU,62.0025,132.4325,85.37,16,36,11.1,scattered clouds
99,Vulcanesti,MD,45.6842,28.4028,74.59,63,1,12.17,clear sky
100,Pevek,RU,69.7008,170.3133,42.15,74,66,4.63,broken clouds
101,Mahebourg,MU,-20.4081,57.7,75.25,94,40,3.44,scattered clouds
102,Port Macquarie,AU,-31.4333,152.9167,71.56,53,19,13.6,few clouds
103,Chuy,UY,-33.6971,-53.4616,51.71,94,98,12.24,overcast clouds
104,Tezu,IN,27.9167,96.1667,78.28,98,100,2.46,overcast clouds
105,Naze,JP,28.3667,129.4833,81.52,82,24,12.17,moderate rain
106,Vaini,TO,-21.2,-175.2,69.96,83,75,11.5,broken clouds
107,Vila Velha,BR,-20.3297,-40.2925,67.95,88,75,3.44,broken clouds
108,Qinzhou,CN,21.95,108.6167,90.16,66,100,13.31,moderate rain
109,Cabo San Lucas,MX,22.8909,-109.9124,84.06,88,64,5.01,broken clouds
